['Test Stats '] top1_per_class accuracy is: [87. 43. 69. 35. 48. 54. 56. 63. 86. 51. 38. 87. 66. 68. 46. 38. 39. 81. 39. 51. 66. 45. 48. 89. 74. 53. 51. 22. 51. 46. 75. 59. 32. 51. 21. 81. 69. 55. 30. 70. 44. 52. 61. 59. 41. 34. 73. 91. 88. 74. 36. 36. 98. 87. 81. 58. 75. 77. 78. 86. 89. 53. 88. 25. 32. 27. 54. 34. 89. 52. 87. 93. 56. 31. 41. 61. 78. 44. 34. 49. 38. 30. 86. 61. 46. 48. 76. 74. 78. 45. 49. 62. 79. 29. 76. 82. 78. 52. 69. 52.], average: 58.89
['Test Stats '] top1_per_class accuracy is: [88. 37. 69. 28. 43. 55. 51. 65. 89. 49. 33. 87. 60. 71. 41. 47. 37. 83. 38. 52. 68. 52. 52. 86. 77. 51. 55. 30. 48. 45. 77. 62. 31. 45. 25. 79. 72. 51. 35. 72. 46. 51. 55. 54. 39. 37. 78. 91. 93. 70. 41. 34. 98. 88. 83. 54. 77. 74. 81. 87. 89. 52. 89. 31. 39. 29. 59. 36. 86. 52. 89. 93. 46. 33. 38. 68. 77. 41. 31. 49. 41. 21. 89. 60. 46. 42. 76. 74. 72. 34. 54. 62. 81. 29. 77. 83. 80. 47. 71. 53.], average: 58.86
['Test Stats '] top1_per_class accuracy is: [85. 44. 70. 27. 45. 58. 57. 70. 86. 49. 33. 85. 55. 66. 48. 45. 40. 84. 43. 57. 68. 49. 49. 89. 76. 51. 59. 21. 51. 39. 74. 66. 33. 51. 24. 81. 71. 49. 36. 73. 47. 55. 60. 57. 29. 43. 78. 90. 91. 76. 40. 31. 98. 88. 85. 57. 78. 73. 76. 86. 90. 45. 90. 28. 38. 31. 61. 43. 87. 61. 88. 93. 49. 33. 38. 74. 77. 44. 24. 45. 39. 41. 89. 59. 48. 54. 79. 74. 72. 48. 50. 64. 83. 23. 77. 84. 76. 45. 74. 55.], average: 59.68
['Test Stats '] top1_per_class accuracy is: [87. 50. 69. 31. 45. 56. 56. 72. 85. 52. 42. 85. 61. 64. 47. 38. 47. 87. 44. 53. 68. 38. 50. 88. 72. 51. 51. 24. 59. 42. 78. 61. 32. 51. 19. 81. 72. 49. 30. 71. 45. 56. 61. 60. 32. 35. 78. 90. 87. 77. 39. 29. 98. 87. 85. 60. 78. 72. 75. 85. 90. 56. 91. 25. 33. 34. 58. 43. 86. 63. 88. 93. 50. 35. 42. 72. 78. 36. 30. 44. 40. 46. 88. 55. 48. 62. 78. 76. 70. 52. 43. 67. 84. 27. 78. 84. 79. 47. 74. 53.], average: 59.85
['Test Stats '] top1_per_class accuracy is: [90. 49. 70. 32. 37. 62. 60. 73. 84. 56. 41. 87. 63. 60. 53. 40. 44. 88. 49. 44. 70. 35. 47. 88. 76. 59. 47. 30. 59. 48. 74. 56. 39. 54. 31. 79. 72. 57. 27. 68. 41. 58. 66. 65. 36. 40. 74. 91. 89. 74. 40. 33. 97. 89. 81. 55. 77. 78. 77. 86. 87. 58. 89. 34. 46. 33. 68. 45. 86. 62. 89. 91. 40. 36. 36. 76. 77. 33. 31. 43. 36. 45. 88. 65. 49. 62. 69. 69. 74. 52. 42. 63. 83. 30. 84. 80. 75. 48. 76. 51.], average: 60.46
['Test Stats '] top1_per_class accuracy is: [92. 46. 71. 29. 40. 62. 51. 65. 83. 54. 37. 86. 67. 62. 45. 40. 44. 86. 39. 54. 67. 43. 47. 87. 71. 57. 49. 30. 53. 46. 78. 58. 35. 48. 42. 80. 66. 63. 31. 64. 45. 55. 65. 68. 34. 34. 76. 94. 89. 71. 36. 32. 97. 87. 78. 56. 81. 76. 76. 87. 88. 55. 90. 42. 50. 33. 72. 36. 87. 57. 87. 92. 48. 34. 34. 78. 77. 39. 32. 44. 36. 42. 88. 61. 47. 53. 75. 74. 73. 48. 44. 63. 84. 28. 79. 81. 83. 51. 76. 47.], average: 60.13
['Test Stats '] top1_per_class accuracy is: [88. 49. 71. 38. 38. 57. 55. 66. 83. 59. 42. 87. 62. 64. 50. 41. 47. 83. 43. 65. 67. 52. 48. 88. 73. 57. 46. 27. 60. 47. 76. 57. 38. 53. 33. 76. 68. 53. 38. 70. 41. 58. 72. 70. 33. 29. 73. 93. 88. 74. 37. 31. 98. 87. 79. 51. 80. 78. 75. 86. 91. 58. 92. 39. 48. 31. 67. 40. 84. 58. 90. 93. 41. 33. 37. 80. 77. 34. 39. 42. 32. 38. 90. 58. 47. 54. 74. 74. 78. 45. 48. 62. 85. 30. 78. 82. 82. 55. 71. 44.], average: 60.49
['Test Stats '] top1_per_class accuracy is: [89. 56. 71. 31. 36. 60. 55. 63. 85. 54. 43. 83. 68. 65. 53. 48. 47. 90. 46. 60. 65. 51. 53. 91. 79. 53. 46. 41. 57. 49. 76. 61. 41. 53. 26. 76. 68. 58. 34. 68. 43. 59. 65. 68. 47. 30. 74. 91. 91. 74. 34. 30. 97. 91. 78. 54. 79. 78. 77. 85. 90. 57. 91. 34. 44. 29. 67. 40. 88. 57. 88. 93. 42. 36. 35. 74. 78. 32. 44. 36. 28. 39. 86. 60. 46. 56. 79. 80. 72. 50. 47. 67. 82. 36. 77. 81. 76. 48. 70. 44.], average: 60.73
['Test Stats '] top1_per_class accuracy is: [89. 48. 73. 27. 32. 63. 55. 65. 86. 56. 41. 84. 70. 62. 54. 56. 49. 88. 48. 66. 68. 56. 50. 89. 78. 57. 49. 39. 59. 49. 74. 69. 33. 51. 28. 79. 69. 55. 45. 65. 42. 59. 62. 62. 43. 30. 74. 92. 91. 74. 35. 31. 97. 90. 83. 45. 80. 78. 77. 84. 89. 55. 91. 36. 46. 30. 66. 38. 87. 59. 88. 94. 36. 31. 37. 77. 78. 36. 37. 37. 34. 44. 89. 64. 49. 59. 77. 80. 66. 53. 45. 59. 84. 35. 76. 77. 79. 42. 75. 52.], average: 60.9
['Test Stats '] top1_per_class accuracy is: [90. 46. 76. 30. 36. 64. 57. 66. 88. 50. 40. 89. 58. 63. 51. 55. 43. 81. 48. 67. 67. 52. 53. 89. 75. 55. 47. 31. 56. 49. 78. 62. 33. 46. 37. 83. 68. 46. 41. 73. 50. 58. 61. 62. 37. 31. 79. 91. 93. 75. 41. 30. 98. 91. 82. 47. 82. 79. 78. 85. 89. 54. 90. 44. 50. 35. 70. 32. 86. 63. 87. 93. 40. 29. 39. 77. 73. 29. 33. 38. 39. 40. 88. 62. 49. 60. 82. 80. 70. 50. 47. 62. 81. 25. 75. 82. 83. 46. 76. 47.], average: 60.84
