['Test Stats '] top1_per_class accuracy is: [91. 42. 63. 32. 18. 49. 49. 62. 70. 46. 28. 72. 54. 56. 49. 28. 39. 81. 42. 46. 58. 37. 45. 89. 70. 40. 42. 30. 47. 36. 64. 51. 28. 38. 16. 75. 55. 32. 25. 56. 22. 55. 49. 55. 27. 32. 63. 89. 77. 59. 38. 27. 97. 88. 74. 24. 67. 78. 70. 78. 82. 44. 80. 29. 36. 31. 44. 42. 80. 60. 83. 85. 29. 39. 34. 66. 65. 26. 24. 31. 28. 35. 88. 58. 34. 50. 69. 61. 57. 44. 39. 61. 76. 19. 67. 69. 77. 49. 61. 38.], average: 52.1
['Test Stats '] top1_per_class accuracy is: [87. 39. 67. 32. 13. 56. 41. 55. 64. 49. 32. 72. 53. 55. 46. 27. 40. 80. 37. 43. 64. 31. 44. 88. 71. 46. 55. 35. 50. 41. 59. 48. 29. 35. 16. 76. 55. 37. 19. 58. 19. 56. 48. 52. 27. 41. 66. 89. 73. 58. 36. 24. 97. 86. 77. 19. 65. 75. 69. 76. 81. 45. 78. 30. 35. 28. 46. 42. 82. 57. 82. 83. 20. 41. 29. 65. 66. 43. 25. 41. 25. 32. 87. 57. 44. 45. 70. 57. 56. 39. 36. 61. 78. 16. 72. 66. 77. 47. 66. 41.], average: 51.89
['Test Stats '] top1_per_class accuracy is: [84. 43. 60. 32. 15. 61. 46. 58. 69. 54. 33. 69. 48. 62. 41. 30. 40. 78. 37. 42. 64. 37. 47. 85. 73. 51. 53. 28. 47. 37. 65. 47. 28. 33. 28. 72. 62. 35. 19. 60. 19. 55. 62. 61. 21. 34. 62. 89. 79. 59. 35. 20. 98. 81. 76. 24. 67. 70. 72. 80. 79. 41. 80. 36. 41. 25. 52. 36. 76. 55. 82. 83. 24. 42. 25. 69. 66. 35. 25. 38. 23. 22. 87. 56. 49. 49. 69. 61. 71. 41. 42. 62. 77. 17. 74. 71. 83. 51. 56. 35.], average: 52.43
['Test Stats '] top1_per_class accuracy is: [88. 43. 64. 38. 20. 58. 43. 54. 76. 54. 37. 71. 50. 64. 34. 23. 43. 78. 34. 39. 59. 28. 48. 87. 70. 45. 48. 27. 48. 39. 67. 42. 27. 41. 32. 78. 48. 33. 14. 62. 20. 46. 60. 64. 26. 35. 63. 89. 76. 62. 28. 18. 98. 83. 77. 30. 67. 71. 72. 82. 83. 46. 80. 37. 43. 18. 59. 36. 75. 47. 85. 84. 34. 36. 22. 68. 66. 33. 25. 33. 21. 10. 88. 54. 47. 28. 70. 65. 71. 34. 53. 60. 75. 20. 70. 75. 76. 54. 63. 34.], average: 51.99
['Test Stats '] top1_per_class accuracy is: [91. 49. 62. 31. 21. 58. 38. 53. 78. 55. 38. 70. 50. 70. 35. 16. 49. 74. 31. 41. 61. 25. 39. 88. 67. 50. 51. 28. 58. 40. 69. 41. 33. 37. 31. 75. 48. 30. 10. 57. 19. 39. 54. 64. 22. 36. 60. 90. 81. 62. 27. 23. 98. 85. 77. 29. 67. 77. 79. 85. 83. 53. 82. 39. 44. 16. 60. 37. 76. 49. 81. 85. 36. 40. 23. 67. 67. 40. 27. 38. 24.  9. 88. 58. 49. 27. 61. 57. 68. 28. 52. 65. 75. 19. 71. 74. 81. 51. 55. 36.], average: 52.13
['Test Stats '] top1_per_class accuracy is: [89. 45. 64. 42. 22. 59. 43. 59. 77. 55. 38. 71. 50. 65. 40. 19. 46. 78. 30. 36. 62. 25. 43. 89. 69. 49. 45. 28. 58. 41. 69. 43. 31. 37. 27. 76. 55. 40. 13. 58. 24. 44. 55. 68. 23. 33. 64. 88. 80. 61. 32. 17. 98. 82. 82. 30. 66. 76. 79. 80. 83. 49. 82. 40. 39. 22. 52. 39. 81. 52. 87. 84. 32. 40. 24. 69. 68. 33. 24. 33. 22. 16. 87. 59. 49. 37. 63. 61. 69. 37. 47. 62. 74. 20. 71. 72. 79. 55. 56. 33.], average: 52.7
['Test Stats '] top1_per_class accuracy is: [94. 38. 54. 27. 23. 55. 56. 65. 72. 57. 36. 65. 53. 56. 52. 19. 44. 85. 45. 44. 61. 32. 45. 87. 74. 46. 35. 29. 58. 46. 69. 47. 33. 29. 27. 71. 57. 44. 16. 61. 29. 58. 54. 58. 29. 28. 55. 88. 78. 56. 36. 36. 97. 89. 80. 35. 62. 79. 72. 79. 79. 48. 81. 37. 45. 31. 53. 42. 86. 58. 83. 82. 36. 39. 32. 69. 73. 20. 26. 23. 28. 28. 85. 60. 41. 49. 70. 68. 64. 43. 42. 58. 76. 22. 66. 74. 81. 49. 50. 29.], average: 53.31
['Test Stats '] top1_per_class accuracy is: [90. 46. 57. 29. 24. 61. 60. 68. 68. 49. 32. 69. 61. 56. 53. 20. 40. 88. 41. 48. 63. 33. 48. 83. 78. 52. 26. 31. 47. 47. 68. 50. 35. 28. 25. 74. 54. 47. 20. 62. 27. 57. 59. 69. 28. 25. 59. 89. 74. 56. 37. 32. 97. 90. 76. 30. 66. 78. 66. 78. 78. 40. 78. 35. 40. 32. 52. 47. 87. 56. 81. 82. 35. 49. 26. 69. 73. 20. 24. 19. 29. 27. 85. 61. 50. 47. 67. 65. 72. 46. 40. 62. 74. 20. 70. 73. 82. 54. 52. 24.], average: 53.47
['Test Stats '] top1_per_class accuracy is: [92. 47. 61. 25. 16. 58. 49. 66. 67. 52. 33. 75. 66. 55. 40. 23. 43. 88. 31. 53. 66. 32. 47. 84. 76. 50. 33. 32. 46. 44. 66. 51. 38. 32. 23. 79. 63. 48. 25. 57. 31. 55. 53. 58. 22. 27. 68. 89. 76. 56. 43. 33. 97. 89. 77. 28. 58. 80. 67. 78. 79. 46. 75. 31. 41. 35. 48. 48. 86. 58. 80. 81. 31. 50. 34. 64. 72. 21. 25. 31. 35. 22. 84. 62. 45. 35. 71. 62. 60. 46. 38. 68. 75. 18. 66. 73. 79. 49. 60. 31.], average: 53.32
['Test Stats '] top1_per_class accuracy is: [93. 38. 64. 27. 17. 57. 49. 64. 67. 49. 34. 76. 54. 57. 40. 22. 38. 82. 31. 55. 62. 40. 50. 90. 73. 47. 42. 30. 44. 47. 68. 51. 32. 26. 31. 80. 49. 39. 24. 65. 29. 59. 52. 62. 15. 29. 67. 91. 77. 60. 32. 36. 97. 89. 79. 26. 64. 79. 67. 85. 81. 43. 75. 39. 49. 26. 58. 39. 79. 55. 82. 86. 29. 46. 21. 70. 66. 28. 25. 34. 22. 28. 85. 62. 47. 48. 73. 70. 64. 50. 38. 62. 76. 18. 65. 72. 83. 51. 62. 31.], average: 53.37
