['Test Stats '] top1_per_class accuracy is: [91. 47. 71. 23. 40. 65. 54. 68. 81. 50. 40. 81. 73. 59. 58. 32. 38. 86. 43. 52. 73. 47. 43. 92. 75. 59. 53. 39. 60. 52. 66. 56. 44. 54. 36. 76. 72. 57. 27. 58. 45. 60. 51. 56. 42. 32. 70. 94. 85. 73. 39. 31. 98. 88. 84. 44. 81. 74. 76. 91. 86. 55. 89. 34. 35. 28. 61. 43. 90. 57. 90. 91. 53. 36. 38. 72. 76. 36. 31. 43. 34. 43. 89. 60. 47. 61. 75. 64. 72. 58. 41. 64. 86. 40. 78. 80. 81. 34. 68. 40.], average: 59.64
['Test Stats '] top1_per_class accuracy is: [95. 48. 70. 27. 37. 60. 52. 66. 83. 56. 39. 80. 65. 63. 57. 26. 40. 81. 42. 47. 74. 47. 39. 92. 69. 54. 51. 35. 60. 55. 63. 55. 41. 54. 37. 82. 74. 49. 23. 57. 33. 61. 55. 58. 42. 30. 74. 93. 87. 74. 42. 37. 98. 94. 83. 43. 81. 73. 80. 91. 90. 55. 86. 39. 43. 36. 65. 42. 85. 60. 92. 92. 45. 35. 45. 75. 71. 30. 37. 42. 39. 46. 89. 63. 42. 61. 69. 62. 73. 56. 45. 61. 83. 28. 79. 79. 82. 37. 71. 40.], average: 59.44
['Test Stats '] top1_per_class accuracy is: [92. 50. 70. 33. 27. 52. 57. 67. 83. 63. 41. 83. 60. 65. 58. 34. 45. 82. 46. 52. 71. 53. 43. 93. 72. 55. 52. 37. 68. 54. 61. 56. 39. 57. 35. 81. 77. 50. 28. 64. 40. 55. 61. 64. 38. 38. 70. 93. 88. 78. 41. 36. 98. 92. 84. 39. 80. 74. 80. 92. 91. 60. 85. 35. 40. 34. 65. 47. 84. 57. 91. 92. 38. 36. 44. 73. 68. 41. 30. 53. 34. 40. 89. 59. 38. 53. 75. 70. 74. 48. 44. 66. 83. 31. 70. 72. 79. 44. 69. 49.], average: 59.98
['Test Stats '] top1_per_class accuracy is: [91. 48. 73. 33. 30. 59. 57. 65. 84. 61. 39. 81. 67. 65. 55. 39. 42. 88. 36. 54. 73. 53. 50. 91. 68. 58. 55. 36. 69. 52. 62. 60. 39. 57. 31. 81. 81. 53. 32. 60. 39. 57. 67. 66. 40. 35. 70. 93. 88. 76. 47. 34. 98. 92. 85. 39. 82. 74. 81. 92. 90. 59. 89. 34. 34. 36. 55. 40. 88. 58. 91. 90. 43. 34. 50. 72. 71. 40. 28. 46. 37. 38. 91. 59. 45. 55. 77. 69. 75. 50. 46. 62. 87. 31. 79. 73. 78. 47. 72. 46.], average: 60.48
['Test Stats '] top1_per_class accuracy is: [89. 45. 78. 36. 27. 61. 56. 68. 85. 58. 38. 84. 64. 69. 59. 45. 38. 85. 41. 54. 74. 50. 47. 92. 68. 59. 58. 41. 66. 53. 61. 61. 39. 57. 37. 84. 76. 49. 29. 62. 41. 55. 68. 66. 35. 37. 74. 93. 89. 72. 42. 30. 98. 91. 84. 39. 78. 72. 87. 91. 92. 59. 89. 36. 36. 30. 58. 36. 89. 56. 92. 91. 36. 34. 43. 78. 70. 43. 28. 55. 33. 35. 87. 56. 47. 52. 77. 67. 77. 48. 51. 60. 87. 30. 81. 75. 79. 43. 72. 52.], average: 60.45
['Test Stats '] top1_per_class accuracy is: [91. 45. 74. 31. 31. 55. 63. 68. 83. 64. 45. 84. 65. 67. 64. 42. 48. 88. 47. 49. 73. 51. 44. 91. 76. 57. 52. 41. 73. 54. 61. 61. 43. 40. 36. 80. 78. 53. 26. 66. 40. 53. 72. 73. 34. 33. 69. 92. 85. 69. 42. 36. 98. 90. 83. 39. 76. 75. 84. 91. 87. 60. 90. 43. 44. 34. 67. 41. 89. 58. 90. 90. 42. 36. 44. 77. 74. 40. 26. 48. 37. 34. 89. 57. 46. 51. 74. 71. 75. 47. 45. 62. 86. 34. 78. 75. 81. 40. 72. 49.], average: 60.77
['Test Stats '] top1_per_class accuracy is: [91. 42. 71. 31. 31. 47. 63. 70. 80. 57. 40. 83. 68. 66. 59. 48. 43. 87. 44. 55. 73. 60. 48. 90. 76. 56. 53. 40. 71. 56. 67. 65. 41. 45. 36. 82. 80. 56. 39. 69. 41. 52. 73. 70. 41. 29. 70. 92. 87. 70. 46. 34. 98. 92. 82. 48. 74. 78. 81. 91. 88. 59. 87. 45. 40. 42. 69. 39. 93. 57. 92. 89. 48. 36. 40. 76. 75. 39. 32. 47. 36. 33. 90. 62. 41. 50. 77. 76. 80. 45. 44. 64. 86. 30. 75. 78. 78. 44. 73. 43.], average: 61.26
['Test Stats '] top1_per_class accuracy is: [91. 48. 69. 30. 31. 56. 67. 72. 85. 60. 40. 85. 62. 61. 63. 41. 46. 86. 44. 56. 77. 57. 43. 91. 79. 60. 50. 40. 74. 54. 64. 60. 44. 48. 33. 82. 77. 52. 39. 69. 42. 59. 67. 70. 48. 28. 67. 92. 87. 76. 45. 35. 98. 93. 81. 43. 78. 80. 83. 92. 89. 66. 85. 38. 37. 38. 61. 41. 88. 65. 90. 90. 41. 35. 43. 70. 68. 35. 32. 43. 35. 44. 88. 61. 48. 63. 75. 77. 76. 49. 44. 65. 83. 34. 74. 75. 81. 46. 70. 42.], average: 61.35
['Test Stats '] top1_per_class accuracy is: [92. 47. 67. 23. 28. 63. 60. 67. 84. 63. 47. 84. 61. 65. 61. 37. 48. 85. 40. 53. 77. 48. 51. 92. 71. 63. 55. 34. 74. 52. 68. 66. 42. 48. 34. 78. 78. 51. 34. 71. 43. 58. 62. 60. 35. 43. 65. 92. 91. 73. 46. 35. 98. 92. 84. 39. 80. 79. 83. 93. 89. 67. 83. 39. 36. 35. 63. 36. 88. 64. 88. 90. 39. 30. 47. 71. 69. 43. 25. 52. 37. 36. 89. 60. 51. 59. 77. 76. 73. 45. 49. 64. 82. 32. 77. 73. 84. 42. 69. 53.], average: 60.95
['Test Stats '] top1_per_class accuracy is: [93. 46. 69. 21. 32. 71. 62. 62. 86. 61. 40. 83. 62. 67. 61. 51. 45. 85. 34. 59. 77. 56. 51. 92. 71. 67. 55. 33. 64. 53. 68. 67. 42. 51. 37. 78. 75. 48. 36. 66. 45. 61. 58. 60. 29. 43. 65. 93. 91. 72. 44. 30. 98. 92. 80. 46. 86. 76. 85. 93. 90. 61. 85. 45. 39. 38. 67. 42. 88. 62. 88. 90. 38. 32. 43. 69. 76. 46. 25. 56. 38. 38. 90. 57. 53. 62. 78. 74. 70. 47. 48. 66. 82. 25. 84. 77. 81. 33. 66. 51.], average: 61.24
