['Test Stats '] top1_per_class accuracy is: [84. 40. 55. 19. 32. 58. 52. 62. 72. 56. 30. 69. 57. 65. 47. 37. 44. 77. 41. 51. 67. 46. 37. 84. 72. 51. 48. 31. 59. 43. 72. 65. 32. 39. 18. 66. 49. 33. 25. 50. 18. 56. 59. 57. 24. 37. 61. 87. 82. 67. 30. 16. 95. 78. 76. 46. 71. 67. 72. 78. 76. 39. 83. 28. 33. 19. 38. 34. 73. 55. 86. 82. 39. 34. 25. 66. 62. 32. 32. 38. 21. 28. 88. 49. 49. 43. 65. 64. 60. 42. 50. 66. 83. 19. 72. 77. 79. 52. 48. 40.], average: 52.81
['Test Stats '] top1_per_class accuracy is: [91. 46. 58. 23. 32. 72. 56. 62. 76. 60. 32. 74. 57. 58. 46. 33. 44. 81. 38. 50. 71. 45. 32. 86. 72. 54. 43. 38. 59. 45. 68. 61. 32. 39. 18. 71. 51. 36. 25. 46. 17. 60. 55. 59. 34. 33. 63. 87. 78. 64. 31. 24. 95. 83. 72. 41. 71. 77. 72. 77. 78. 43. 75. 28. 31. 22. 43. 40. 73. 57. 81. 85. 34. 37. 23. 66. 62. 31. 37. 31. 23. 33. 84. 51. 55. 46. 60. 54. 61. 47. 45. 65. 76. 23. 77. 74. 84. 48. 55. 36.], average: 53.48
['Test Stats '] top1_per_class accuracy is: [90. 50. 60. 28. 27. 67. 59. 65. 76. 57. 39. 76. 59. 62. 50. 30. 48. 80. 40. 44. 71. 41. 34. 87. 75. 53. 45. 31. 57. 44. 66. 51. 31. 35. 20. 77. 58. 41. 17. 46. 17. 54. 53. 62. 28. 30. 65. 88. 81. 66. 32. 23. 96. 84. 71. 39. 70. 74. 73. 78. 82. 45. 73. 31. 37. 23. 43. 37. 74. 57. 81. 85. 32. 34. 23. 68. 63. 30. 32. 33. 27. 29. 79. 50. 54. 39. 61. 57. 61. 46. 52. 65. 76. 17. 75. 75. 78. 51. 60. 33.], average: 53.39
['Test Stats '] top1_per_class accuracy is: [91. 46. 57. 25. 29. 59. 56. 65. 69. 59. 44. 72. 60. 60. 47. 28. 49. 78. 39. 45. 67. 41. 35. 87. 72. 51. 54. 29. 58. 42. 66. 53. 29. 36. 27. 76. 50. 38. 22. 49. 19. 56. 49. 62. 26. 37. 65. 90. 78. 64. 31. 24. 99. 87. 73. 40. 73. 77. 69. 80. 83. 41. 75. 41. 45. 24. 53. 36. 75. 60. 84. 86. 31. 33. 22. 72. 61. 41. 28. 40. 25. 28. 81. 49. 53. 45. 68. 65. 62. 48. 41. 64. 78. 15. 72. 72. 82. 49. 55. 42.], average: 53.84
['Test Stats '] top1_per_class accuracy is: [91. 48. 53. 23. 25. 55. 59. 64. 65. 57. 36. 70. 64. 55. 46. 28. 44. 77. 40. 46. 69. 46. 37. 87. 74. 49. 56. 23. 53. 37. 64. 60. 30. 34. 25. 69. 55. 44. 23. 52. 20. 60. 53. 63. 21. 40. 57. 90. 72. 62. 35. 27. 99. 81. 76. 38. 76. 76. 68. 82. 81. 40. 79. 34. 46. 24. 50. 40. 78. 60. 85. 85. 33. 36. 28. 70. 65. 40. 22. 38. 28. 34. 84. 51. 50. 48. 68. 61. 60. 49. 38. 69. 79. 14. 69. 73. 85. 48. 51. 44.], average: 53.66
['Test Stats '] top1_per_class accuracy is: [91. 49. 57. 24. 17. 51. 46. 62. 75. 55. 36. 73. 60. 57. 42. 33. 41. 73. 34. 51. 61. 50. 41. 86. 72. 49. 52. 24. 53. 40. 66. 61. 36. 28. 23. 71. 63. 35. 27. 50. 22. 58. 57. 64. 23. 31. 58. 88. 77. 63. 41. 25. 96. 85. 76. 35. 72. 73. 71. 77. 83. 36. 79. 31. 41. 30. 52. 46. 74. 65. 87. 84. 31. 42. 34. 73. 58. 32. 25. 41. 33. 31. 85. 49. 41. 47. 68. 61. 63. 46. 45. 74. 81. 17. 67. 70. 77. 52. 54. 44.], average: 53.56
['Test Stats '] top1_per_class accuracy is: [88. 40. 57. 21. 24. 59. 50. 65. 80. 60. 36. 71. 61. 68. 45. 28. 50. 80. 35. 50. 67. 48. 36. 87. 72. 53. 56. 34. 56. 41. 72. 56. 28. 29. 26. 65. 57. 38. 25. 49. 22. 53. 59. 61. 23. 33. 60. 89. 83. 63. 38. 18. 97. 81. 75. 41. 75. 72. 76. 80. 80. 40. 80. 37. 49. 25. 53. 33. 83. 60. 87. 83. 29. 32. 29. 69. 65. 36. 27. 38. 25. 31. 86. 48. 51. 42. 63. 62. 63. 45. 51. 62. 83. 20. 71. 75. 79. 49. 53. 39.], average: 53.95
['Test Stats '] top1_per_class accuracy is: [89. 35. 56. 23. 19. 51. 55. 66. 63. 62. 40. 70. 67. 51. 47. 27. 48. 82. 37. 50. 62. 49. 37. 87. 77. 50. 53. 32. 65. 46. 66. 55. 26. 35. 32. 62. 59. 42. 22. 52. 18. 56. 56. 61. 34. 33. 60. 87. 71. 61. 38. 27. 95. 88. 79. 37. 64. 72. 69. 77. 84. 44. 80. 36. 47. 22. 55. 33. 84. 67. 86. 86. 27. 28. 25. 71. 67. 39. 30. 34. 25. 34. 87. 53. 49. 49. 62. 64. 55. 54. 37. 58. 81. 25. 71. 72. 79. 48. 48. 35.], average: 53.61
['Test Stats '] top1_per_class accuracy is: [92. 39. 59. 26. 19. 57. 55. 64. 72. 58. 39. 71. 61. 56. 48. 32. 45. 81. 39. 50. 63. 52. 41. 86. 75. 50. 57. 39. 61. 46. 66. 59. 29. 36. 23. 68. 58. 40. 25. 53. 27. 50. 58. 64. 34. 33. 60. 87. 73. 63. 35. 28. 95. 87. 78. 37. 63. 73. 74. 75. 86. 44. 79. 31. 43. 25. 52. 39. 83. 61. 86. 87. 28. 39. 27. 63. 66. 42. 32. 43. 20. 27. 88. 50. 53. 44. 72. 71. 59. 45. 41. 65. 80. 21. 73. 69. 75. 53. 53. 42.], average: 54.41
['Test Stats '] top1_per_class accuracy is: [89. 43. 60. 25. 29. 63. 53. 59. 74. 58. 37. 77. 57. 56. 44. 33. 46. 80. 37. 54. 67. 51. 39. 83. 70. 54. 50. 27. 54. 42. 71. 62. 29. 35. 26. 76. 60. 39. 29. 53. 24. 50. 58. 63. 26. 33. 63. 88. 78. 59. 41. 20. 97. 88. 77. 48. 69. 72. 72. 75. 84. 43. 78. 36. 52. 36. 56. 36. 78. 60. 86. 83. 37. 33. 30. 72. 63. 39. 24. 42. 25. 33. 91. 50. 53. 49. 73. 64. 61. 46. 43. 65. 79. 15. 76. 75. 75. 50. 62. 36.], average: 54.81
