['Test Stats '] top1_per_class accuracy is: [94. 54. 65. 21. 36. 74. 61. 63. 82. 59. 49. 84. 61. 55. 50. 44. 42. 88. 43. 56. 81. 55. 47. 87. 70. 64. 52. 33. 63. 51. 75. 58. 49. 45. 33. 79. 74. 55. 27. 64. 40. 61. 47. 53. 35. 41. 69. 89. 86. 70. 36. 35. 97. 92. 81. 43. 78. 76. 78. 81. 84. 61. 83. 42. 35. 31. 57. 52. 90. 64. 85. 90. 40. 42. 33. 72. 81. 42. 30. 51. 31. 42. 85. 58. 57. 69. 76. 64. 63. 56. 37. 68. 82. 32. 81. 75. 82. 40. 67. 47.], average: 60.08
['Test Stats '] top1_per_class accuracy is: [93. 52. 63. 28. 40. 68. 59. 64. 82. 58. 47. 80. 63. 54. 47. 45. 49. 87. 41. 55. 78. 52. 42. 84. 63. 62. 53. 29. 67. 48. 79. 59. 46. 52. 26. 78. 75. 57. 27. 54. 41. 60. 59. 60. 35. 37. 66. 93. 84. 67. 39. 34. 97. 92. 81. 47. 84. 77. 78. 88. 87. 60. 84. 44. 33. 35. 49. 48. 91. 60. 86. 90. 48. 35. 33. 69. 77. 41. 30. 50. 32. 41. 85. 56. 56. 68. 74. 66. 71. 52. 33. 66. 82. 30. 77. 80. 84. 46. 65. 49.], average: 59.88
['Test Stats '] top1_per_class accuracy is: [91. 53. 68. 35. 38. 67. 60. 60. 82. 57. 49. 81. 64. 58. 45. 40. 43. 84. 38. 51. 77. 56. 50. 89. 64. 55. 54. 33. 64. 50. 74. 58. 43. 56. 31. 79. 70. 54. 26. 60. 44. 54. 57. 61. 42. 36. 66. 91. 84. 74. 35. 31. 97. 90. 82. 46. 81. 73. 76. 87. 92. 60. 87. 47. 44. 27. 54. 47. 87. 60. 88. 91. 47. 40. 32. 74. 79. 43. 34. 53. 30. 38. 88. 53. 52. 61. 75. 70. 74. 47. 37. 68. 84. 40. 77. 81. 78. 47. 69. 55.], average: 60.24
['Test Stats '] top1_per_class accuracy is: [90. 50. 65. 31. 36. 63. 64. 66. 82. 60. 44. 79. 60. 61. 57. 40. 46. 86. 39. 47. 76. 48. 49. 87. 70. 57. 49. 39. 68. 53. 73. 56. 43. 54. 23. 79. 76. 61. 21. 65. 43. 58. 61. 59. 42. 34. 63. 88. 81. 68. 34. 36. 97. 89. 84. 47. 81. 77. 81. 85. 88. 60. 89. 38. 32. 30. 49. 49. 87. 58. 88. 90. 40. 41. 32. 67. 78. 44. 34. 44. 33. 36. 92. 54. 54. 60. 79. 67. 69. 49. 40. 69. 84. 35. 77. 77. 82. 52. 67. 52.], average: 59.87
['Test Stats '] top1_per_class accuracy is: [93. 48. 65. 32. 38. 70. 65. 68. 84. 60. 48. 79. 57. 58. 56. 50. 44. 88. 39. 51. 78. 53. 46. 85. 71. 64. 53. 38. 61. 54. 80. 59. 38. 48. 26. 81. 76. 55. 26. 59. 41. 55. 60. 63. 43. 32. 66. 85. 82. 62. 42. 36. 97. 89. 86. 45. 80. 79. 84. 81. 87. 61. 89. 33. 33. 36. 49. 44. 88. 60. 86. 90. 40. 38. 39. 69. 78. 41. 32. 46. 34. 37. 91. 55. 60. 65. 72. 63. 71. 50. 43. 66. 86. 38. 83. 76. 82. 53. 67. 52.], average: 60.35
['Test Stats '] top1_per_class accuracy is: [91. 55. 67. 30. 36. 67. 63. 72. 84. 59. 51. 82. 58. 60. 54. 55. 47. 89. 38. 57. 78. 60. 39. 84. 73. 66. 51. 32. 59. 44. 72. 65. 37. 45. 30. 82. 81. 52. 34. 53. 39. 57. 70. 63. 36. 40. 71. 88. 84. 64. 41. 29. 97. 87. 86. 40. 79. 76. 84. 83. 86. 61. 89. 48. 40. 42. 56. 46. 88. 62. 86. 88. 39. 42. 41. 72. 79. 45. 30. 50. 40. 39. 88. 56. 53. 63. 72. 65. 73. 53. 39. 67. 85. 35. 79. 74. 85. 57. 68. 57.], average: 61.04
['Test Stats '] top1_per_class accuracy is: [92. 54. 65. 29. 58. 61. 63. 64. 83. 58. 46. 80. 62. 60. 49. 55. 45. 88. 34. 59. 77. 66. 45. 84. 69. 58. 54. 38. 59. 51. 81. 61. 42. 45. 27. 82. 76. 46. 39. 62. 44. 58. 64. 68. 42. 43. 67. 87. 86. 66. 32. 30. 97. 88. 85. 54. 76. 75. 83. 82. 88. 60. 88. 38. 39. 29. 54. 40. 89. 61. 86. 88. 55. 31. 30. 71. 78. 51. 32. 46. 30. 42. 86. 56. 51. 67. 76. 67. 73. 57. 40. 66. 84. 36. 75. 79. 83. 54. 66. 55.], average: 60.91
['Test Stats '] top1_per_class accuracy is: [91. 52. 66. 31. 58. 71. 60. 69. 85. 58. 42. 80. 56. 66. 52. 50. 46. 87. 38. 56. 77. 49. 44. 84. 73. 65. 51. 34. 56. 48. 80. 59. 41. 46. 28. 84. 80. 46. 30. 56. 42. 57. 67. 68. 41. 36. 67. 89. 87. 67. 42. 35. 97. 90. 86. 54. 78. 77. 84. 79. 90. 60. 90. 40. 42. 34. 60. 37. 87. 62. 88. 89. 57. 34. 37. 75. 75. 34. 34. 44. 35. 37. 87. 58. 56. 62. 74. 62. 74. 52. 45. 67. 85. 38. 84. 82. 80. 54. 66. 52.], average: 61.07
['Test Stats '] top1_per_class accuracy is: [93. 48. 67. 29. 54. 70. 64. 76. 85. 57. 43. 80. 57. 59. 55. 54. 46. 84. 40. 56. 79. 53. 43. 85. 76. 62. 48. 34. 58. 50. 86. 61. 39. 44. 25. 83. 79. 47. 34. 57. 41. 59. 65. 69. 44. 32. 67. 90. 87. 68. 43. 38. 98. 92. 82. 56. 77. 76. 79. 86. 89. 62. 89. 35. 36. 31. 53. 40. 89. 64. 86. 90. 58. 27. 38. 72. 76. 33. 26. 41. 36. 41. 86. 59. 55. 64. 73. 64. 79. 55. 40. 65. 85. 34. 81. 85. 84. 58. 68. 45.], average: 61.01
['Test Stats '] top1_per_class accuracy is: [92. 41. 71. 27. 50. 65. 68. 79. 84. 64. 56. 83. 64. 62. 63. 52. 55. 87. 43. 53. 79. 49. 39. 88. 78. 61. 46. 30. 66. 49. 81. 64. 38. 49. 26. 85. 77. 55. 32. 62. 39. 54. 60. 64. 38. 29. 72. 90. 85. 73. 38. 42. 97. 92. 86. 56. 79. 76. 79. 83. 91. 63. 91. 40. 35. 30. 57. 42. 89. 62. 86. 91. 61. 33. 36. 74. 75. 31. 28. 38. 37. 37. 89. 54. 52. 56. 76. 67. 70. 50. 39. 66. 84. 31. 81. 83. 87. 46. 70. 50.], average: 61.23
