['Test Stats '] top1_per_class accuracy is: [91. 48. 69. 30. 43. 64. 53. 59. 88. 57. 41. 83. 59. 66. 50. 32. 44. 84. 39. 49. 72. 38. 42. 87. 68. 69. 51. 37. 57. 55. 72. 60. 36. 44. 27. 85. 69. 47. 31. 57. 33. 59. 62. 69. 43. 34. 74. 92. 90. 72. 35. 31. 97. 93. 85. 51. 80. 74. 83. 85. 88. 59. 88. 42. 35. 26. 62. 43. 85. 64. 86. 90. 50. 34. 35. 71. 73. 33. 31. 41. 35. 29. 91. 60. 56. 54. 68. 61. 73. 50. 53. 64. 84. 31. 83. 80. 85. 47. 76. 48.], average: 59.59
['Test Stats '] top1_per_class accuracy is: [89. 46. 64. 25. 51. 58. 50. 57. 80. 52. 36. 83. 62. 66. 50. 46. 39. 84. 37. 51. 67. 52. 45. 89. 71. 62. 45. 34. 52. 51. 76. 62. 35. 47. 28. 86. 66. 52. 37. 61. 37. 62. 61. 70. 44. 33. 70. 93. 89. 72. 31. 30. 98. 93. 83. 59. 82. 75. 82. 87. 90. 58. 88. 45. 34. 24. 58. 38. 86. 65. 86. 91. 60. 33. 37. 77. 72. 29. 27. 40. 37. 35. 88. 59. 52. 55. 78. 65. 77. 54. 43. 61. 85. 30. 79. 83. 88. 50. 73. 49.], average: 59.74
['Test Stats '] top1_per_class accuracy is: [91. 49. 69. 22. 31. 56. 60. 61. 80. 57. 31. 84. 64. 63. 49. 42. 39. 88. 42. 52. 70. 48. 53. 90. 71. 63. 43. 43. 52. 54. 69. 59. 35. 41. 34. 82. 75. 55. 37. 65. 38. 62. 59. 65. 48. 33. 69. 92. 89. 73. 42. 35. 98. 95. 83. 42. 86. 76. 84. 88. 88. 57. 81. 53. 43. 32. 67. 39. 87. 63. 86. 93. 49. 35. 47. 78. 76. 24. 38. 34. 43. 40. 88. 66. 48. 60. 81. 67. 73. 55. 43. 63. 82. 39. 76. 79. 90. 48. 73. 42.], average: 60.52
['Test Stats '] top1_per_class accuracy is: [92. 44. 69. 27. 34. 61. 61. 63. 81. 59. 34. 83. 55. 63. 54. 46. 38. 85. 40. 51. 70. 49. 58. 90. 70. 62. 40. 35. 57. 54. 66. 60. 34. 42. 33. 82. 75. 49. 34. 69. 45. 64. 63. 65. 43. 31. 70. 91. 89. 76. 39. 40. 96. 95. 85. 40. 80. 81. 81. 89. 91. 58. 84. 46. 36. 32. 59. 41. 86. 60. 86. 93. 40. 34. 43. 79. 73. 25. 35. 31. 41. 39. 89. 69. 51. 60. 85. 73. 74. 54. 41. 67. 82. 35. 78. 76. 87. 51. 74. 42.], average: 60.32
['Test Stats '] top1_per_class accuracy is: [92. 51. 68. 24. 35. 62. 56. 67. 81. 62. 40. 86. 57. 64. 51. 49. 48. 83. 40. 59. 71. 59. 56. 92. 68. 65. 45. 33. 59. 53. 71. 67. 38. 51. 29. 86. 79. 48. 40. 72. 42. 59. 64. 68. 42. 30. 71. 93. 87. 76. 41. 41. 96. 96. 84. 44. 80. 82. 82. 86. 90. 62. 87. 41. 34. 28. 62. 42. 87. 56. 88. 93. 44. 39. 37. 76. 78. 30. 34. 44. 39. 29. 89. 67. 55. 50. 84. 73. 73. 51. 46. 69. 83. 36. 76. 74. 85. 49. 76. 44.], average: 61.21
['Test Stats '] top1_per_class accuracy is: [88. 44. 77. 24. 36. 66. 49. 60. 82. 66. 42. 87. 59. 66. 45. 43. 52. 90. 32. 60. 71. 58. 47. 87. 69. 67. 50. 35. 60. 54. 73. 65. 31. 46. 26. 88. 76. 51. 41. 73. 39. 61. 59. 62. 44. 38. 72. 92. 91. 74. 39. 34. 97. 95. 86. 47. 81. 77. 82. 87. 88. 62. 90. 35. 30. 25. 53. 40. 89. 64. 91. 92. 51. 31. 37. 72. 79. 39. 35. 47. 39. 33. 93. 61. 49. 63. 78. 70. 73. 51. 42. 62. 87. 36. 80. 77. 86. 45. 77. 47.], average: 60.92
['Test Stats '] top1_per_class accuracy is: [91. 49. 65. 20. 35. 70. 60. 62. 88. 66. 41. 77. 61. 69. 53. 41. 45. 90. 45. 49. 74. 54. 49. 87. 70. 66. 48. 42. 62. 56. 70. 57. 34. 42. 30. 79. 73. 53. 38. 67. 36. 65. 54. 60. 46. 29. 66. 94. 94. 75. 40. 37. 97. 96. 83. 40. 80. 79. 81. 89. 87. 59. 85. 40. 38. 23. 61. 42. 88. 65. 88. 92. 49. 36. 32. 77. 79. 36. 34. 43. 34. 36. 89. 64. 56. 66. 80. 65. 69. 53. 49. 63. 83. 36. 83. 76. 88. 42. 68. 41.], average: 60.64
['Test Stats '] top1_per_class accuracy is: [91. 47. 71. 26. 38. 66. 58. 62. 87. 66. 38. 84. 60. 67. 51. 48. 48. 85. 39. 58. 74. 59. 48. 90. 75. 62. 43. 35. 63. 55. 74. 65. 31. 44. 32. 87. 75. 45. 40. 67. 32. 65. 63. 69. 48. 27. 70. 94. 89. 77. 42. 38. 97. 95. 83. 46. 85. 79. 79. 92. 91. 61. 87. 55. 42. 27. 64. 43. 87. 65. 91. 92. 49. 34. 37. 78. 78. 28. 34. 39. 34. 39. 92. 63. 54. 65. 77. 69. 76. 51. 45. 62. 85. 38. 78. 75. 91. 48. 74. 41.], average: 61.63
['Test Stats '] top1_per_class accuracy is: [91. 47. 75. 22. 46. 56. 56. 64. 87. 65. 32. 86. 67. 67. 52. 56. 47. 90. 38. 62. 71. 53. 50. 88. 75. 51. 44. 28. 56. 50. 74. 71. 33. 47. 33. 87. 73. 49. 45. 68. 38. 59. 67. 70. 42. 25. 71. 94. 94. 79. 45. 45. 97. 93. 83. 52. 81. 81. 83. 89. 89. 57. 90. 47. 36. 33. 63. 46. 87. 63. 89. 91. 50. 35. 35. 77. 79. 29. 33. 36. 35. 36. 91. 67. 46. 57. 75. 70. 79. 51. 50. 64. 85. 36. 75. 79. 89. 49. 76. 42.], average: 61.57
['Test Stats '] top1_per_class accuracy is: [91. 48. 77. 24. 44. 61. 57. 63. 86. 61. 37. 87. 67. 65. 50. 52. 48. 91. 38. 60. 73. 41. 53. 88. 73. 56. 46. 33. 58. 54. 77. 66. 30. 42. 30. 88. 74. 57. 39. 70. 40. 62. 70. 71. 45. 35. 76. 92. 93. 79. 45. 36. 97. 96. 81. 58. 80. 77. 82. 80. 89. 58. 87. 52. 33. 31. 66. 46. 88. 64. 88. 92. 51. 38. 40. 79. 84. 32. 34. 45. 35. 40. 87. 62. 54. 62. 74. 75. 83. 53. 41. 66. 81. 35. 77. 80. 84. 50. 78. 42.], average: 62.06
